epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.885,1.38324,2.56381,0.00806,0.68651,0.64912,0.67647,0.47751,1.7138,1.64698,0.01405,0.000547729,0.000547729,0.000547729
2,100.875,1.25764,1.08542,0.00771,0.66373,0.75105,0.69938,0.48128,1.53146,1.39345,0.01423,0.00109247,0.00109247,0.00109247
3,138.196,1.30232,1.01934,0.00842,0.7356,0.7381,0.76577,0.50333,1.62145,1.46485,0.01515,0.00162621,0.00162621,0.00162621
4,175.439,1.27494,0.92341,0.00822,0.78439,0.76079,0.8256,0.53639,1.6242,1.49675,0.0142,0.00161749,0.00161749,0.00161749
5,212.964,1.21404,0.84962,0.0078,0.81694,0.84852,0.89006,0.62142,1.46282,0.92479,0.01298,0.00160099,0.00160099,0.00160099
6,250.535,1.1884,0.80106,0.00768,0.77884,0.8016,0.8318,0.56659,1.48416,1.13861,0.01311,0.00158448,0.00158448,0.00158448
7,287.595,1.15996,0.76515,0.0073,0.83251,0.81627,0.86275,0.6208,1.42594,0.986,0.01274,0.00156798,0.00156798,0.00156798
8,324.975,1.12728,0.72441,0.00717,0.85883,0.85668,0.90896,0.64865,1.38591,0.78627,0.01222,0.00155148,0.00155148,0.00155148
9,362.199,1.11655,0.71236,0.00714,0.836,0.84471,0.87529,0.60136,1.44631,0.90545,0.01304,0.00153497,0.00153497,0.00153497
10,399.48,1.09817,0.6827,0.00688,0.85171,0.8422,0.89278,0.63817,1.4288,0.84342,0.01302,0.00151847,0.00151847,0.00151847
11,436.098,1.06178,0.66642,0.00676,0.85135,0.86659,0.90721,0.65871,1.34939,0.78524,0.01165,0.00150197,0.00150197,0.00150197
12,474.027,1.05167,0.62875,0.00655,0.87822,0.88218,0.92102,0.66158,1.33738,0.70169,0.01139,0.00148546,0.00148546,0.00148546
13,511.909,1.03053,0.60597,0.00653,0.87996,0.88364,0.92499,0.69106,1.282,0.68443,0.01102,0.00146896,0.00146896,0.00146896
14,549.481,1.0254,0.58534,0.00633,0.87853,0.87203,0.91874,0.67119,1.3335,0.72656,0.01183,0.00145246,0.00145246,0.00145246
15,586.699,1.01977,0.59611,0.00654,0.86829,0.8903,0.92053,0.69154,1.28917,0.67489,0.01075,0.00143595,0.00143595,0.00143595
16,624,1.00494,0.59028,0.00627,0.88258,0.89003,0.92898,0.69953,1.25942,0.67276,0.01119,0.00141945,0.00141945,0.00141945
17,661.462,1.002,0.58764,0.00638,0.89386,0.8851,0.93394,0.7102,1.22666,0.64178,0.00998,0.00140295,0.00140295,0.00140295
18,698.944,0.98871,0.56004,0.00621,0.88124,0.88092,0.9245,0.67984,1.35062,0.71322,0.01097,0.00138644,0.00138644,0.00138644
19,736.245,0.95722,0.53745,0.00596,0.88442,0.90178,0.93969,0.73258,1.15468,0.61023,0.00986,0.00136994,0.00136994,0.00136994
20,773.665,0.9504,0.53401,0.00586,0.87559,0.90044,0.94,0.70924,1.25333,0.63112,0.0106,0.00135344,0.00135344,0.00135344
21,811.198,0.97475,0.53173,0.00593,0.89604,0.89861,0.93891,0.7144,1.21573,0.60367,0.01023,0.00133693,0.00133693,0.00133693
22,848.488,0.96345,0.5268,0.00592,0.87594,0.89639,0.93294,0.72027,1.20128,0.69997,0.0102,0.00132043,0.00132043,0.00132043
23,885.863,0.93208,0.50437,0.00568,0.89891,0.89512,0.93528,0.72289,1.18934,0.62629,0.0101,0.00130393,0.00130393,0.00130393
24,923.684,0.93564,0.51218,0.00576,0.91759,0.8837,0.94182,0.7188,1.22493,0.59885,0.01025,0.00128742,0.00128742,0.00128742
25,961.112,0.92802,0.4937,0.00579,0.90641,0.8892,0.93991,0.72072,1.22498,0.63632,0.00994,0.00127092,0.00127092,0.00127092
26,998.22,0.94479,0.5102,0.00576,0.89079,0.90316,0.93958,0.69711,1.30378,0.64865,0.01075,0.00125442,0.00125442,0.00125442
27,1035.73,0.91101,0.4771,0.0055,0.91068,0.89609,0.94277,0.72867,1.1956,0.59922,0.00988,0.00123791,0.00123791,0.00123791
28,1073.5,0.91109,0.47842,0.0055,0.90174,0.91264,0.94928,0.73549,1.1834,0.54592,0.01007,0.00122141,0.00122141,0.00122141
29,1110.85,0.91039,0.46731,0.00554,0.90726,0.91366,0.94515,0.73309,1.17648,0.56992,0.00968,0.00120491,0.00120491,0.00120491
30,1147.98,0.89137,0.47191,0.0055,0.9237,0.88268,0.93875,0.72271,1.20155,0.59877,0.01014,0.0011884,0.0011884,0.0011884
31,1184.97,0.88665,0.45163,0.00546,0.90982,0.90123,0.93922,0.72664,1.26933,0.5583,0.0106,0.0011719,0.0011719,0.0011719
32,1222.15,0.87283,0.44606,0.00521,0.90519,0.91267,0.95086,0.73746,1.17795,0.57934,0.00969,0.0011554,0.0011554,0.0011554
33,1259.7,0.8736,0.45094,0.00528,0.9108,0.92091,0.94975,0.74231,1.17406,0.53283,0.00975,0.00113889,0.00113889,0.00113889
34,1297.11,0.87016,0.447,0.00533,0.92206,0.91824,0.95134,0.73997,1.20779,0.54448,0.01007,0.00112239,0.00112239,0.00112239
35,1334.47,0.85877,0.44218,0.00524,0.9217,0.90213,0.94667,0.73855,1.17646,0.55891,0.00994,0.00110589,0.00110589,0.00110589
36,1371.79,0.85172,0.43358,0.00506,0.90716,0.91858,0.95217,0.7475,1.18787,0.54406,0.00995,0.00108938,0.00108938,0.00108938
37,1409.43,0.84391,0.4194,0.00501,0.91438,0.90615,0.94854,0.74505,1.1981,0.57178,0.00988,0.00107288,0.00107288,0.00107288
38,1446.74,0.84647,0.42685,0.00511,0.91002,0.90606,0.94913,0.73956,1.18796,0.53891,0.01,0.00105638,0.00105638,0.00105638
39,1484.12,0.854,0.41969,0.00508,0.90053,0.92628,0.95127,0.73943,1.17501,0.5571,0.00967,0.00103987,0.00103987,0.00103987
40,1521.7,0.84699,0.42148,0.00513,0.91629,0.91114,0.95219,0.74414,1.186,0.54729,0.00955,0.00102337,0.00102337,0.00102337
