epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,1558.86,0.83516,0.41071,0.00491,0.91208,0.91896,0.95518,0.75349,1.16235,0.52494,0.00932,0.00100687,0.00100687,0.00100687
42,1596.23,0.83176,0.41639,0.00498,0.91222,0.91949,0.95481,0.74431,1.18464,0.51542,0.00947,0.000990365,0.000990365,0.000990365
43,1633.84,0.8108,0.39527,0.00471,0.90996,0.92134,0.95858,0.76124,1.14087,0.51346,0.00928,0.000973861,0.000973861,0.000973861
44,1671.35,0.81166,0.39799,0.00484,0.90424,0.93093,0.95486,0.74636,1.18608,0.51713,0.0095,0.000957358,0.000957358,0.000957358
45,1709.08,0.80608,0.39395,0.00469,0.92223,0.9066,0.95641,0.75549,1.16527,0.50777,0.00946,0.000940855,0.000940855,0.000940855
46,1746.34,0.79133,0.38595,0.00468,0.91235,0.92691,0.95211,0.75608,1.17244,0.51661,0.00992,0.000924352,0.000924352,0.000924352
47,1784.14,0.79979,0.38821,0.00479,0.92473,0.91365,0.95409,0.75382,1.19714,0.52424,0.00986,0.000907848,0.000907848,0.000907848
48,1821.31,0.79125,0.38895,0.00466,0.912,0.9342,0.95922,0.75584,1.16113,0.51128,0.00956,0.000891345,0.000891345,0.000891345
49,1858.66,0.7924,0.38424,0.00461,0.91177,0.92784,0.95513,0.75441,1.17236,0.50515,0.00939,0.000874842,0.000874842,0.000874842
50,1895.91,0.77964,0.37387,0.00449,0.91767,0.92315,0.95303,0.74147,1.18412,0.51824,0.00975,0.000858338,0.000858338,0.000858338
51,1933.3,0.77892,0.37567,0.00462,0.92454,0.92659,0.9562,0.75673,1.16091,0.49501,0.00953,0.000841835,0.000841835,0.000841835
52,1970.8,0.7593,0.36309,0.00437,0.92379,0.92217,0.95665,0.75568,1.15371,0.5282,0.0095,0.000825332,0.000825332,0.000825332
53,2008.13,0.76059,0.36401,0.0044,0.91263,0.92418,0.95484,0.76083,1.14892,0.51742,0.0094,0.000808828,0.000808828,0.000808828
54,2045.4,0.76888,0.36881,0.00447,0.91147,0.93216,0.95737,0.75944,1.14714,0.52458,0.00945,0.000792325,0.000792325,0.000792325
